timestamp,instance,config_hash,solver,valid_cut_type,add_soc_cuts,random_seed,iteration,block_id,n_original,true_min_eigenvalue,master_objective,master_solve_time,separation_time,num_cuts_added_this_iter,is_psd
1784696406.6125495,control6,ab9d8392d9,MOSEK,linear,False,42,61,0,60,-0.05900448192324036,786.9028007832635,23.268890142440796,0.0,28,False
1784696406.6176994,control6,ab9d8392d9,MOSEK,linear,False,42,61,1,30,-15.423973582826765,786.9028007832635,23.268890142440796,0.0010061264038085938,11,False
1784696429.5005336,control6,ab9d8392d9,MOSEK,linear,False,42,62,0,60,-0.05933888003217304,785.1006675073456,22.793933868408203,0.0010974407196044922,30,False
1784696429.5060778,control6,ab9d8392d9,MOSEK,linear,False,42,62,1,30,-15.622824014619011,785.1006675073456,22.793933868408203,0.001032114028930664,12,False
1784696451.9276307,control6,ab9d8392d9,MOSEK,linear,False,42,63,0,60,-0.0598483431829172,783.2561638228565,22.321183919906616,0.0,29,False
1784696451.9354782,control6,ab9d8392d9,MOSEK,linear,False,42,63,1,30,-16.347701984110515,783.2561638228565,22.321183919906616,0.0010232925415039062,12,False
1784696490.4549208,control6,ab9d8392d9,MOSEK,linear,False,42,64,0,60,-0.054594367782153305,781.2706797921436,38.43525791168213,0.00099945068359375,29,False
1784696490.462198,control6,ab9d8392d9,MOSEK,linear,False,42,64,1,30,-14.752031109861637,781.2706797921436,38.43525791168213,0.0,12,False
1784696516.0182686,control6,ab9d8392d9,MOSEK,linear,False,42,65,0,60,-0.06153086072978227,779.2372198108387,25.467822790145874,0.0010001659393310547,30,False
1784696516.0231347,control6,ab9d8392d9,MOSEK,linear,False,42,65,1,30,-17.00941266431651,779.2372198108387,25.467822790145874,0.0,11,False
1784696543.5419865,control6,ab9d8392d9,MOSEK,linear,False,42,66,0,60,-0.0525302088811508,777.6284177363048,27.42480754852295,0.0010137557983398438,30,False
1784696543.5467763,control6,ab9d8392d9,MOSEK,linear,False,42,66,1,30,-15.191404431508438,777.6284177363048,27.42480754852295,0.0005049705505371094,11,False
1784696568.6130855,control6,ab9d8392d9,MOSEK,linear,False,42,67,0,60,-0.054137744119661706,776.0755875389493,24.96667981147766,0.0010077953338623047,30,False
1784696568.6209183,control6,ab9d8392d9,MOSEK,linear,False,42,67,1,30,-13.088005448273302,776.0755875389493,24.96667981147766,0.0,11,False
1784696592.3446538,control6,ab9d8392d9,MOSEK,linear,False,42,68,0,60,-0.05376522035913064,774.4095888761651,23.626166582107544,0.0010154247283935547,29,False
1784696592.349553,control6,ab9d8392d9,MOSEK,linear,False,42,68,1,30,-13.9343514554765,774.4095888761651,23.626166582107544,0.0,10,False
1784696615.9353473,control6,ab9d8392d9,MOSEK,linear,False,42,69,0,60,-0.05041138246638744,772.9123623777806,23.48885989189148,0.0010044574737548828,29,False
1784696615.9413028,control6,ab9d8392d9,MOSEK,linear,False,42,69,1,30,-11.327262569589664,772.9123623777806,23.48885989189148,0.0010080337524414062,11,False
1784696634.6417904,control6,ab9d8392d9,MOSEK,linear,False,42,70,0,60,-0.048786136641278864,771.450116493866,18.60064125061035,0.0010035037994384766,29,False
1784696634.6474981,control6,ab9d8392d9,MOSEK,linear,False,42,70,1,30,-13.281418016266104,771.450116493866,18.60064125061035,0.0,11,False
1784696658.5523522,control6,ab9d8392d9,MOSEK,linear,False,42,71,0,60,-0.04346880220280683,769.9674399410292,23.812546968460083,0.0010826587677001953,29,False
1784696658.5563555,control6,ab9d8392d9,MOSEK,linear,False,42,71,1,30,-11.02043768156657,769.9674399410292,23.812546968460083,0.0008978843688964844,12,False
1784696727.9466047,control6,ab9d8392d9,MOSEK,linear,False,42,72,0,60,-0.04765261371049518,768.2678566831967,69.29042863845825,0.0,29,False
1784696727.9513335,control6,ab9d8392d9,MOSEK,linear,False,42,72,1,30,-10.398576194060846,768.2678566831967,69.29042863845825,0.0,12,False
1784696752.5356126,control6,ab9d8392d9,MOSEK,linear,False,42,73,0,60,-0.04998233774334186,766.6959155960601,24.487563848495483,0.0,30,False
1784696752.5416074,control6,ab9d8392d9,MOSEK,linear,False,42,73,1,30,-13.812728135951463,766.6959155960601,24.487563848495483,0.0009725093841552734,11,False
1784696787.7015946,control6,ab9d8392d9,MOSEK,linear,False,42,74,0,60,-0.05452917422825397,765.1883413145106,35.052074909210205,0.0010712146759033203,30,False
1784696787.7074013,control6,ab9d8392d9,MOSEK,linear,False,42,74,1,30,-12.276263042325432,765.1883413145106,35.052074909210205,0.0,11,False
1784696813.873418,control6,ab9d8392d9,MOSEK,linear,False,42,75,0,60,-0.04743211219000225,763.4296962218999,26.058652639389038,0.0011055469512939453,29,False
1784696813.880693,control6,ab9d8392d9,MOSEK,linear,False,42,75,1,30,-11.195658891294253,763.4296962218999,26.058652639389038,0.001010894775390625,10,False
1784696843.5986137,control6,ab9d8392d9,MOSEK,linear,False,42,76,0,60,-0.04926997106344353,761.586864821528,29.60926103591919,0.0010983943939208984,29,False
1784696843.603513,control6,ab9d8392d9,MOSEK,linear,False,42,76,1,30,-12.645187659289386,761.586864821528,29.60926103591919,0.0009999275207519531,10,False
1784696871.7063031,control6,ab9d8392d9,MOSEK,linear,False,42,77,0,60,-0.045726371931786476,759.6897138351201,28.001957654953003,0.0009520053863525391,29,False
1784696871.7116938,control6,ab9d8392d9,MOSEK,linear,False,42,77,1,30,-12.841722234679175,759.6897138351201,28.001957654953003,0.0,10,False
1784696901.5818422,control6,ab9d8392d9,MOSEK,linear,False,42,78,0,60,-0.048441821340194154,757.826801509541,29.755298137664795,0.0009813308715820312,28,False
1784696901.5879016,control6,ab9d8392d9,MOSEK,linear,False,42,78,1,30,-12.076606685870846,757.826801509541,29.755298137664795,0.0009882450103759766,11,False
1784696938.769046,control6,ab9d8392d9,MOSEK,linear,False,42,79,0,60,-0.04430082893490191,756.1425835787707,37.07353448867798,0.0010669231414794922,30,False
1784696938.7753026,control6,ab9d8392d9,MOSEK,linear,False,42,79,1,30,-12.898546711339627,756.1425835787707,37.07353448867798,0.0,11,False
1784696969.3139422,control6,ab9d8392d9,MOSEK,linear,False,42,80,0,60,-0.044552265631338545,754.2854305474568,30.42606282234192,0.0,29,False
1784696969.3197677,control6,ab9d8392d9,MOSEK,linear,False,42,80,1,30,-11.171823472983972,754.2854305474568,30.42606282234192,0.0,10,False
1784696989.6174364,control6,ab9d8392d9,MOSEK,linear,False,42,81,0,60,-0.0491783982346588,752.4189245246002,20.183072805404663,0.0010006427764892578,30,False
1784696989.6229138,control6,ab9d8392d9,MOSEK,linear,False,42,81,1,30,-12.112618933273328,752.4189245246002,20.183072805404663,0.001016855239868164,11,False
1784697010.7646155,control6,ab9d8392d9,MOSEK,linear,False,42,82,0,60,-0.049807225301752765,750.3188559228006,21.028467893600464,0.0010008811950683594,28,False
1784697010.7708478,control6,ab9d8392d9,MOSEK,linear,False,42,82,1,30,-12.272616780166098,750.3188559228006,21.028467893600464,0.0,10,False
1784697041.7116504,control6,ab9d8392d9,MOSEK,linear,False,42,83,0,60,-0.046950649008044076,748.2355975371552,30.82644772529602,0.0010061264038085938,30,False
1784697041.7188005,control6,ab9d8392d9,MOSEK,linear,False,42,83,1,30,-10.767892847315137,748.2355975371552,30.82644772529602,0.0010061264038085938,11,False
1784697070.572124,control6,ab9d8392d9,MOSEK,linear,False,42,84,0,60,-0.04446289728600519,746.2163924912988,28.737646341323853,0.0,29,False
1784697070.5801353,control6,ab9d8392d9,MOSEK,linear,False,42,84,1,30,-12.083141137267845,746.2163924912988,28.737646341323853,0.001010894775390625,10,False
